S,Brand,Model,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
3050,Jaguar,Jaguar XF ,Coimbatore,2016,55115,Diesel,Automatic,First,14.74,2993,270.9,5,36.15
3051,Jaguar,Jaguar XF 2.2,Kolkata,2014,18000,Diesel,Automatic,First,16.36,2179,187.7,5,25.7
3052,Mahindra,Mahindra XUV500 W8,Coimbatore,2013,130790,Diesel,Manual,First,16.0,2179,140.0,7,9.24
3053,Maruti,Maruti S Cross,Delhi,2015,16607,Diesel,Manual,First,22.7,1598,118.0,5,7.65
3054,Audi,Audi A4 2.0,Coimbatore,2015,32205,Diesel,Automatic,First,17.11,1968,174.33,5,25.31
3055,Renault,Renault Duster 110PS,Delhi,2013,67000,Diesel,Manual,First,19.01,1461,108.45,5,4.75
3056,Maruti,Maruti Swift Dzire,Coimbatore,2014,57676,Petrol,Manual,First,19.1,1197,85.8,5,6.69
3057,Volkswagen,Volkswagen Polo ,Mumbai,2012,41000,Petrol,Manual,First,16.47,1198,73.9,5,3.1
3058,Maruti,Maruti Omni 8,Jaipur,2012,65000,Petrol,Manual,First,19.7,796,35.0,8,1.55
3059,Hyundai,Hyundai Grand i10,Coimbatore,2019,12153,Petrol,Automatic,First,18.9,1197,81.86,5,6.84
3060,Tata,Tata Nano Twist,Hyderabad,2014,16810,Petrol,Manual,First,25.4,624,37.5,4,1.6
3061,Audi,Audi A4 30,Kochi,2017,61221,Petrol,Automatic,First,17.84,1395,147.51,5,21.73
3062,Volkswagen,Volkswagen Polo 1.2,Mumbai,2015,22000,Petrol,Manual,First,16.47,1198,74.0,5,4.75
3063,Maruti,Maruti Alto 800,Chennai,2015,63714,Petrol,Manual,First,22.74,796,47.3,5,2.45
3064,Mini,Mini Cooper 5,Kochi,2019,14857,Diesel,Automatic,First,20.7,1496,113.98,5,31.55
3065,Audi,Audi A4 New,Delhi,2012,69000,Diesel,Automatic,Second,15.2,1968,140.8,5,10.25
3066,Ford,Ford Endeavour Titanium,Coimbatore,2019,14648,Diesel,Manual,First,12.62,2198,158.0,7,27.36
3067,Ford,Ford Ecosport 1.5,Hyderabad,2013,100000,Petrol,Manual,Second,15.8,1499,110.0,5,6.5
3068,Hyundai,Hyundai Grand i10,Jaipur,2016,22000,Petrol,Manual,First,18.9,1197,82.0,5,4.25
3069,Chevrolet,Chevrolet Sail 1.2,Mumbai,2014,10000,Petrol,Manual,First,18.2,1199,82.4,5,5.5
3070,Maruti,Maruti Swift Dzire,Kolkata,2015,107000,Petrol,Manual,First,20.85,1197,83.14,5,4.0
3071,Tata,Tata Zest Revotron,Kochi,2017,48198,Petrol,Manual,First,17.57,1193,88.7,5,4.65
3072,Mercedes-Benz,Mercedes-Benz New C-Class,Delhi,2015,15000,Diesel,Automatic,First,19.27,2143,170.0,5,28.5
3073,Chevrolet,Chevrolet Cruze LTZ,Coimbatore,2014,80073,Diesel,Manual,First,17.3,1998,163.7,5,7.11
3074,Maruti,Maruti Ritz VDi,Hyderabad,2013,85388,Diesel,Manual,First,21.1,1248,73.9,5,3.9
3075,Hyundai,Hyundai Grand i10,Jaipur,2017,14700,Petrol,Manual,First,18.9,1197,81.86,5,5.6
3076,Maruti,Maruti Dzire LDI,Pune,2012,150000,Diesel,Manual,Third,28.4,1248,73.75,5,2.25
3077,Hyundai,Hyundai Verna 1.6,Kolkata,2011,34994,Diesel,Manual,First,22.32,1582,126.32,5,3.9
3078,Jaguar,Jaguar XF ,Coimbatore,2014,82536,Diesel,Automatic,First,14.74,2993,270.9,5,28.63
3079,Skoda,Skoda Superb Elegance,Delhi,2013,82000,Petrol,Automatic,First,13.7,1798,157.75,5,7.25
3080,Maruti,Maruti Wagon R,Pune,2006,52000,Petrol,Manual,Second,18.9,998,67.1,5,2.0
3081,Volkswagen,Volkswagen Polo ,Mumbai,2011,20000,Petrol,Manual,First,16.47,1198,73.9,5,3.5
3082,Honda,Honda Civic 2010-2013,Hyderabad,2011,55000,Petrol,Manual,First,14.8,1799,130.2,5,5.0
3083,Maruti,Maruti Eeco CNG,Ahmedabad,2015,47001,CNG,Manual,First,20.0,1196,63.0,5,3.72
3084,Maruti,Maruti Wagon R,Chennai,2014,52000,Petrol,Manual,First,22.5,998,67.04,5,3.45
3085,Maruti,Maruti Swift Dzire,Kolkata,2013,43284,Diesel,Manual,First,23.4,1248,74.0,5,4.5
3086,Hyundai,Hyundai Creta 1.6,Coimbatore,2018,23875,Petrol,Automatic,First,13.0,1591,121.3,5,14.36
3087,Hyundai,Hyundai Grand i10,Bangalore,2016,51866,Petrol,Manual,First,18.9,1197,82.0,5,5.5
3088,Nissan,Nissan Micra ,Mumbai,2013,69000,Diesel,Manual,First,23.08,1461,63.1,5,3.0
3089,Hyundai,Hyundai Grand i10,Coimbatore,2017,62788,Petrol,Manual,First,18.9,1197,81.86,5,6.08
3090,Volkswagen,Volkswagen Vento ,Chennai,2013,150000,Diesel,Manual,First,20.54,1598,103.6,5,5.0
3091,Toyota,Toyota Fortuner 4x2,Kochi,2015,47566,Diesel,Automatic,First,12.55,2982,168.5,7,20.25
3092,Toyota,Toyota Innova Crysta,Pune,2018,20300,Diesel,Automatic,First,11.36,2755,171.5,7,18.0
3093,Mercedes-Benz,Mercedes-Benz A Class,Pune,2015,48300,Diesel,Automatic,First,20.0,2143,107.3,5,17.5
3094,Hyundai,Hyundai EON D,Pune,2013,30000,Petrol,Manual,First,21.1,814,55.2,5,2.1
3095,Hyundai,Hyundai Elantra CRDi,Bangalore,2012,36000,Diesel,Manual,Second,22.7,1582,126.24,5,7.5
3096,Mini,Mini Cooper 3,Kochi,2015,27641,Diesel,Automatic,Second,20.7,1496,113.98,4,24.77
3097,Renault,Renault Duster 110PS,Bangalore,2015,60000,Diesel,Manual,First,19.64,1461,108.45,5,8.65
3098,Ford,Ford Endeavour 3.2,Chennai,2019,9000,Diesel,Automatic,First,10.91,3198,197.0,7,35.5
3099,Toyota,Toyota Corolla Altis,Delhi,2014,60750,Petrol,Manual,First,14.28,1798,138.03,5,10.5
3100,Mahindra,Mahindra XUV500 W7,Delhi,2018,9000,Diesel,Manual,First,14.0,2179,155.0,7,13.0
3101,BMW,BMW 7 Series,Kolkata,2012,41100,Diesel,Automatic,First,16.77,2993,261.49,5,26.5
3102,Maruti,Maruti Wagon R,Ahmedabad,2004,60000,Petrol,Manual,Second,17.3,1061,64.0,5,1.4
3103,Honda,Honda City i,Kochi,2017,38424,Petrol,Manual,First,17.8,1497,117.3,5,7.51
3104,Maruti,Maruti Swift VDI,Delhi,2014,50000,Diesel,Manual,First,22.9,1248,74.0,5,4.3
3105,Honda,Honda City i-VTEC,Mumbai,2015,19000,Petrol,Automatic,First,18.0,1497,117.3,5,8.95
3106,Maruti,Maruti Ertiga VDI,Kochi,2015,58734,Diesel,Manual,First,20.77,1248,88.76,7,6.91
3107,Renault,Renault Duster 110PS,Coimbatore,2016,65257,Diesel,Manual,First,19.01,1461,108.45,5,9.75
3108,Maruti,Maruti Swift Dzire,Jaipur,2010,130000,Diesel,Manual,Second,19.3,1248,73.9,5,4.0
3109,Maruti,Maruti Ritz VDi,Hyderabad,2011,79000,Diesel,Manual,First,23.2,1248,73.94,5,3.65
3110,Mahindra,Mahindra XUV500 W8,Chennai,2013,78000,Diesel,Manual,First,15.1,2179,140.0,7,10.75
3111,Honda,Honda Brio S,Kochi,2015,49133,Petrol,Manual,First,19.4,1198,86.8,5,4.51
3112,Tata,Tata Manza Club,Coimbatore,2014,54448,Diesel,Manual,First,21.02,1248,88.8,5,3.7
3113,Toyota,Toyota Innova 2.5,Hyderabad,2014,158793,Diesel,Manual,First,12.8,2494,102.0,7,12.99
3114,Maruti,Maruti Swift VXI,Delhi,2015,62088,Petrol,Manual,First,18.6,1197,85.8,5,4.15
3115,Hyundai,Hyundai Verna 1.6,Kolkata,2012,14800,Petrol,Manual,First,17.01,1591,121.3,5,4.4
3116,Honda,Honda Mobilio S,Kolkata,2015,26000,Petrol,Manual,First,17.3,1497,117.3,7,4.25
3117,Honda,Honda Amaze S,Mumbai,2017,32005,Petrol,Manual,First,18.0,1198,86.7,5,4.25
3118,Honda,Honda City i-VTEC,Jaipur,2017,35000,Petrol,Automatic,First,18.0,1497,117.3,5,7.7
3119,Land,Land Rover Range,Pune,2015,52000,Diesel,Automatic,First,12.7,2179,187.7,5,39.75
3120,Honda,Honda City i-VTEC,Mumbai,2017,11000,Petrol,Manual,First,17.4,1497,117.3,5,8.5
3121,Mercedes-Benz,Mercedes-Benz E-Class 280,Jaipur,2008,62000,Petrol,Automatic,First,9.5,2997,231.1,5,7.0
3122,Ford,Ford Ikon 1.3,Chennai,2002,65134,Petrol,Manual,Third,13.8,1299,70.0,5,0.8
3123,Toyota,Toyota Fortuner 4x2,Delhi,2013,71000,Diesel,Manual,First,13.0,2982,168.5,7,15.25
3124,Maruti,Maruti A-Star Vxi,Hyderabad,2008,51366,Petrol,Manual,First,19.0,998,66.1,5,2.25
3125,Tata,Tata Sumo EX,Kolkata,2016,46300,Diesel,Manual,First,14.07,1948,83.1,7,4.85
3126,Honda,Honda City V,Coimbatore,2012,60908,Petrol,Automatic,Second,15.6,1497,116.3,5,6.42
3127,Nissan,Nissan Micra XV,Chennai,2012,93450,Diesel,Manual,Second,23.19,1461,63.12,5,2.5
3128,Hyundai,Hyundai Verna SX,Hyderabad,2011,104000,Diesel,Automatic,First,19.08,1582,126.32,5,5.75
3129,Maruti,Maruti 800 Std,Pune,2003,52000,Petrol,Manual,First,16.1,796,37.0,4,0.5
3130,Mahindra,Mahindra XUV500 W8,Coimbatore,2015,42999,Diesel,Manual,First,15.1,2179,140.0,7,11.52
3131,Maruti,Maruti SX4 VDI,Delhi,2014,90000,Diesel,Manual,First,21.5,1248,88.8,5,4.5
3132,Hyundai,Hyundai i20 Sportz,Bangalore,2013,72000,Petrol,Automatic,First,15.0,1396,98.6,5,4.75
3133,Hyundai,Hyundai Creta 1.6,Coimbatore,2019,54321,Diesel,Manual,First,19.67,1582,126.2,5,13.54
3134,Mercedes-Benz,Mercedes-Benz E-Class E250,Kochi,2015,59630,Diesel,Automatic,First,13.0,2143,201.1,5,23.41
3135,Toyota,Toyota Fortuner 4x2,Hyderabad,2013,116000,Diesel,Automatic,Second,12.55,2982,168.5,7,19.25
3136,Volvo,Volvo S60 D4,Ahmedabad,2015,34000,Diesel,Automatic,First,9.0,1984,181.0,5,20.0
3137,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,Delhi,2011,70000,Diesel,Automatic,First,14.21,2143,203.0,5,13.0
3138,Honda,Honda Accord 2.4,Chennai,2010,80000,Petrol,Manual,First,10.2,2354,180.0,5,3.99
3139,Honda,Honda Amaze S,Pune,2015,110000,Diesel,Manual,First,25.8,1498,98.6,5,4.65
3140,Maruti,Maruti Dzire ZDI,Ahmedabad,2013,56454,Diesel,Manual,First,28.4,1248,73.75,5,4.65
3141,Maruti,Maruti Swift LXI,Kolkata,2013,60000,Petrol,Manual,First,18.6,1197,85.8,5,3.15
3142,Toyota,Toyota Corolla Altis,Delhi,2013,56000,Petrol,Automatic,First,14.53,1798,138.1,5,8.25
3143,Land,Land Rover Range,Bangalore,2012,63000,Diesel,Automatic,Second,11.49,4367,335.3,5,65.0
3144,Maruti,Maruti Swift VDI,Chennai,2012,63000,Diesel,Manual,First,22.9,1248,74.0,5,4.5
3145,Jeep,Jeep Compass 2.0,Kolkata,2017,15050,Diesel,Manual,First,16.3,1956,170.0,5,17.5
3146,Maruti,Maruti Swift VXI,Mumbai,2016,29401,Petrol,Manual,First,20.4,1197,81.8,5,4.31
3147,Honda,Honda Jazz 1.2,Kochi,2016,25238,Petrol,Manual,First,18.7,1199,88.7,5,6.2
3148,Volkswagen,Volkswagen Polo ,Kochi,2011,58752,Petrol,Manual,First,16.47,1198,73.9,5,3.32
3149,Honda,Honda Civic 2006-2010,Delhi,2011,62000,Petrol,Automatic,First,12.9,1799,130.0,5,3.75
3150,Toyota,Toyota Etios G,Bangalore,2013,132000,Petrol,Manual,First,16.78,1496,88.73,5,4.7
3151,Hyundai,Hyundai Verna 1.6,Chennai,2016,51000,Petrol,Manual,First,17.01,1591,121.3,5,6.5
3152,Toyota,Toyota Innova 2.5,Hyderabad,2009,185200,Diesel,Manual,First,12.8,2494,102.0,8,7.25
3153,Maruti,Maruti SX4 S,Coimbatore,2016,61717,Diesel,Manual,First,22.7,1598,118.0,5,8.94
3154,Ford,Ford Freestyle Titanium,Kolkata,2018,8896,Petrol,Manual,First,19.0,1194,94.68,5,7.34
3155,Maruti,Maruti Baleno Alpha,Delhi,2016,17000,Petrol,Manual,First,21.4,1197,83.1,5,6.9
3156,Honda,Honda Jazz V,Mumbai,2016,31378,Petrol,Manual,First,18.2,1199,88.7,5,5.9
3157,Hyundai,Hyundai Verna 1.6,Pune,2013,114000,Diesel,Automatic,First,22.32,1582,126.3,5,6.75
3158,Honda,Honda Amaze VX,Ahmedabad,2014,81000,Diesel,Manual,First,25.8,1498,98.6,5,4.1
3159,Audi,Audi Q3 30,Mumbai,2017,31000,Diesel,Automatic,First,18.51,1968,147.51,5,27.0
3160,Skoda,Skoda Rapid 2013-2016,Mumbai,2014,35000,Petrol,Manual,First,15.0,1598,103.52,5,4.5
3161,Audi,Audi A4 2.0,Kolkata,2013,60001,Diesel,Automatic,First,17.11,1968,174.33,5,14.5
3162,Maruti,Maruti Swift Dzire,Jaipur,2014,75074,Diesel,Manual,First,23.4,1248,74.0,5,5.25
3163,Tata,Tata Indica Vista,Kolkata,2012,80000,Diesel,Manual,Second,22.3,1248,74.0,5,1.2
3164,Toyota,Toyota Innova 2.5,Jaipur,2006,147350,Diesel,Manual,Second,12.99,2494,100.6,8,4.95
3165,Renault,Renault Duster 110PS,Hyderabad,2013,60000,Diesel,Manual,First,19.64,1461,108.45,5,7.5
3166,Mercedes-Benz,Mercedes-Benz E-Class E400,Kolkata,2015,7501,Petrol,Automatic,First,10.0,2996,333.0,4,48.0
3167,Honda,Honda Amaze S,Delhi,2015,58000,Diesel,Manual,First,25.8,1498,98.6,5,4.45
3168,Mercedes-Benz,Mercedes-Benz GLE 350d,Coimbatore,2018,29277,Diesel,Automatic,First,11.57,2987,254.79,5,59.65
3169,Maruti,Maruti Ritz VDi,Kochi,2015,57034,Diesel,Manual,First,23.2,1248,73.94,5,4.38
3170,Maruti,Maruti Ciaz ZDi,Kochi,2016,40810,Diesel,Manual,First,28.09,1248,88.5,5,7.9
3171,Maruti,Maruti Baleno Delta,Coimbatore,2018,34630,Petrol,Automatic,First,21.4,1197,83.1,5,7.29
3172,Ford,Ford Fiesta ,Hyderabad,2012,45122,Diesel,Manual,First,23.5,1498,88.7,5,6.0
3173,Mahindra,Mahindra XUV500 W8,Chennai,2011,126000,Diesel,Manual,Third,16.0,2179,140.0,7,6.7
3174,Maruti,Maruti Alto LXi,Jaipur,2009,63000,Petrol,Manual,First,19.7,796,46.3,5,1.5
3175,Mini,Mini Cooper 3,Kochi,2016,32298,Diesel,Automatic,First,20.7,1496,113.98,4,23.8
3176,Mahindra,Mahindra XUV500 W8,Kochi,2014,63288,Diesel,Manual,First,15.1,2179,140.0,7,7.77
3177,Hyundai,Hyundai Santro Xing,Coimbatore,2012,43337,Petrol,Manual,First,17.92,1086,62.1,5,3.32
3178,Maruti,Maruti Swift VDI,Kochi,2015,46561,Diesel,Manual,First,22.9,1248,74.0,5,4.94
3179,Mercedes-Benz,Mercedes-Benz A Class,Delhi,2013,34000,Diesel,Automatic,Second,20.0,2143,107.3,5,11.0
3180,Renault,Renault KWID RXT,Hyderabad,2016,48000,Petrol,Manual,First,25.17,799,53.3,5,3.4
3181,Maruti,Maruti Swift VDI,Kochi,2013,56263,Diesel,Manual,First,22.9,1248,74.0,5,4.17
3182,Maruti,Maruti Zen LXI,Hyderabad,2005,84060,Petrol,Manual,Second,17.3,993,60.0,5,1.25
3183,Hyundai,Hyundai Grand i10,Mumbai,2016,9000,Petrol,Automatic,First,18.9,1197,82.0,5,5.45
3184,Tata,Tata Manza Aura,Jaipur,2012,79000,Diesel,Manual,First,21.12,1248,88.8,5,2.59
3185,Mahindra,Mahindra XUV500 W10,Pune,2015,87900,Diesel,Manual,First,16.0,2179,140.0,7,12.01
3186,Maruti,Maruti Swift Dzire,Delhi,2010,72425,Petrol,Manual,Second,17.5,1197,85.8,5,2.45
3187,Audi,Audi Q3 35,Bangalore,2015,38000,Diesel,Automatic,First,15.73,1968,174.33,5,29.0
3188,Mercedes-Benz,Mercedes-Benz New C-Class,Hyderabad,2010,107000,Diesel,Automatic,First,14.84,2143,170.0,5,11.99
3189,Honda,Honda City i,Delhi,2015,51000,Petrol,Automatic,First,18.0,1497,117.3,5,7.9
3190,Toyota,Toyota Innova 2.5,Pune,2010,140000,Diesel,Manual,Third,12.8,2494,102.0,7,6.25
3191,Chevrolet,Chevrolet Beat LT,Pune,2011,48000,Petrol,Manual,Second,18.6,1199,79.4,5,1.8
3192,Maruti,Maruti Wagon R,Delhi,2013,62000,CNG,Manual,First,26.6,998,58.16,5,2.8
3193,Honda,Honda Jazz 1.2,Mumbai,2015,31000,Petrol,Manual,First,18.7,1199,88.7,5,4.9
3194,Nissan,Nissan Micra XL,Jaipur,2010,75055,Petrol,Manual,First,18.06,1198,75.0,5,2.25
3195,Maruti,Maruti Ciaz AT,Coimbatore,2017,51210,Petrol,Automatic,First,19.12,1373,91.1,5,8.89
3196,Toyota,Toyota Fortuner 4x2,Mumbai,2012,87000,Diesel,Automatic,First,12.55,2982,168.5,7,15.0
3197,Ford,Ford Aspire Ambiente,Kolkata,2018,17000,Diesel,Manual,First,26.1,1498,99.0,5,5.65
3198,Maruti,Maruti Ertiga ZDI,Jaipur,2014,57000,Diesel,Manual,First,20.77,1248,88.8,7,7.0
3199,Maruti,Maruti Alto 800,Hyderabad,2016,9370,Petrol,Manual,First,22.74,796,47.3,5,2.95
3200,Honda,Honda Brio V,Chennai,2013,53226,Petrol,Manual,First,19.4,1198,86.8,5,3.3
3201,Hyundai,Hyundai Verna Transform,Hyderabad,2010,120000,Diesel,Manual,Second,16.2,1493,110.0,5,3.5
3202,Honda,Honda City 1.5,Jaipur,2007,75055,Petrol,Manual,First,12.8,1493,100.0,5,2.3
3203,Hyundai,Hyundai Creta 1.6,Coimbatore,2017,37247,Diesel,Manual,First,19.67,1582,126.2,5,13.69
3204,Toyota,Toyota Etios Liva,Delhi,2013,64000,Diesel,Manual,First,23.59,1364,67.06,5,3.1
3205,Hyundai,Hyundai Sonata Transform,Mumbai,2014,12000,Petrol,Manual,First,13.44,2359,198.25,5,12.75
3206,Hyundai,Hyundai Creta 1.6,Pune,2017,40158,Diesel,Manual,First,19.67,1582,126.2,5,13.75
3207,Honda,Honda Jazz 1.2,Chennai,2017,11000,Petrol,Manual,First,18.7,1199,88.7,5,6.75
3208,Volkswagen,Volkswagen Vento ,Chennai,2014,70010,Diesel,Manual,First,20.54,1598,103.6,5,5.25
3209,Mahindra,Mahindra XUV500 W6,Mumbai,2015,82000,Diesel,Manual,First,16.0,2179,140.0,7,8.75
3210,Mahindra,Mahindra TUV 300,Kochi,2017,57259,Diesel,Manual,First,18.49,1493,100.0,7,8.87
3211,Honda,Honda Accord 2001-2003,Bangalore,2010,84000,Petrol,Automatic,Second,11.1,2354,142.0,5,6.5
3212,Maruti,Maruti Ertiga VDI,Pune,2012,168000,Diesel,Manual,First,20.77,1248,88.76,7,4.5
3213,Mahindra,Mahindra Ssangyong Rexton,Hyderabad,2012,73670,Diesel,Manual,First,12.83,2696,162.0,7,12.5
3214,Toyota,Toyota Fortuner 4x2,Delhi,2014,89540,Diesel,Automatic,First,12.55,2982,168.5,7,16.8
3215,Maruti,Maruti Ertiga ZDI,Hyderabad,2016,85423,Diesel,Manual,First,20.77,1248,88.8,7,8.75
3216,Hyundai,Hyundai Elantra CRDi,Pune,2013,48823,Diesel,Automatic,First,19.5,1582,126.24,5,8.5
3217,Hyundai,Hyundai i10 Magna,Kolkata,2011,35082,Petrol,Manual,First,20.36,1197,78.9,5,2.21
3218,Maruti,Maruti Omni MPI,Jaipur,2012,126000,Petrol,Manual,First,16.8,796,34.2,5,1.6
3219,Honda,Honda Amaze VX,Delhi,2016,19000,Petrol,Automatic,First,15.5,1198,86.7,5,6.25
3220,Honda,Honda Civic 2006-2010,Mumbai,2007,69000,Petrol,Automatic,Second,12.9,1799,130.0,5,2.25
3221,Mercedes-Benz,Mercedes-Benz CLA 200,Kochi,2019,29836,Diesel,Automatic,First,17.9,2143,136.0,5,25.75
3222,Skoda,Skoda Superb 1.8,Ahmedabad,2010,48002,Petrol,Manual,Second,13.14,1798,157.8,5,6.75
3223,Maruti,Maruti Ciaz ZDi,Ahmedabad,2015,52324,Diesel,Manual,First,28.09,1248,88.5,5,6.25
3224,Ford,Ford Ecosport 1.5,Delhi,2013,65000,Diesel,Manual,First,22.7,1498,89.84,5,5.1
3225,Mercedes-Benz,Mercedes-Benz M-Class ML,Mumbai,2009,66000,Diesel,Automatic,Second,8.7,2987,224.34,5,10.75
3226,Hyundai,Hyundai Grand i10,Hyderabad,2016,75700,Diesel,Manual,First,24.0,1120,70.0,5,5.7
3227,Volkswagen,Volkswagen Vento ,Bangalore,2013,43000,Diesel,Manual,First,20.5,1598,105.0,5,5.95
3228,Chevrolet,Chevrolet Beat ,Kochi,2012,42706,Diesel,Manual,First,25.44,936,56.3,5,2.4
3229,Mahindra,Mahindra Quanto C6,Mumbai,2013,35000,Diesel,Manual,First,17.21,1493,100.0,7,3.49
3230,Hyundai,Hyundai i10 Asta,Hyderabad,2011,54348,Petrol,Automatic,First,19.2,1197,80.0,5,4.0
3231,Toyota,Toyota Etios Liva,Delhi,2013,84000,Diesel,Manual,First,23.59,1364,67.04,5,3.85
3232,Toyota,Toyota Corolla Altis,Mumbai,2010,63298,Petrol,Automatic,First,14.53,1794,138.1,5,3.95
3233,Hyundai,Hyundai i10 Magna,Jaipur,2013,75049,Petrol,Manual,Second,20.36,1197,78.9,5,3.0
3234,Ford,Ford Figo Aspire,Kochi,2018,24237,Petrol,Manual,First,18.16,1196,86.8,5,6.7
3235,Maruti,Maruti Ritz ZXi,Coimbatore,2016,22767,Petrol,Manual,First,18.5,1197,85.8,5,6.14
3236,Hyundai,Hyundai i20 Sportz,Bangalore,2012,58000,Petrol,Automatic,Second,15.0,1396,98.6,5,4.4
3237,Maruti,Maruti Swift Dzire,Pune,2017,57000,Diesel,Manual,First,26.59,1248,74.0,5,4.25
3238,BMW,BMW 7 Series,Kochi,2010,50161,Petrol,Automatic,First,8.77,4395,402.0,5,25.93
3239,Maruti,Maruti S Cross,Kolkata,2016,45000,Diesel,Manual,First,22.7,1598,118.0,5,7.0
3240,Toyota,Toyota Fortuner 4x4,Coimbatore,2017,68319,Diesel,Automatic,First,12.55,2982,168.5,7,25.12
3241,Hyundai,Hyundai EON 1.0,Kochi,2017,30711,Petrol,Manual,First,20.3,998,68.05,5,4.45
3242,Hyundai,Hyundai i20 1.4,Kolkata,2011,38277,Diesel,Manual,First,21.9,1396,90.0,5,2.4
3243,Volkswagen,Volkswagen Vento ,Pune,2012,115000,Diesel,Manual,Second,20.54,1598,103.6,5,4.33
3244,Maruti,Maruti Swift Dzire,Coimbatore,2017,46849,Petrol,Automatic,First,18.5,1197,83.14,5,6.93
3245,Hyundai,Hyundai i20 Magna,Ahmedabad,2014,64000,Diesel,Manual,First,21.9,1396,90.0,5,4.25
3246,Mercedes-Benz,Mercedes-Benz E-Class 2009-2013,Pune,2010,130923,Diesel,Automatic,First,14.21,2143,203.0,5,12.5
3247,Hyundai,Hyundai Grand i10,Chennai,2015,15000,Petrol,Manual,First,18.9,1197,82.0,5,4.9
3248,Hyundai,Hyundai i20 1.4,Mumbai,2014,32720,Diesel,Manual,First,23.0,1396,90.0,5,4.5
3249,Renault,Renault KWID RXT,Jaipur,2016,12500,Petrol,Manual,First,25.17,799,53.3,5,3.0
3250,Hyundai,Hyundai Xcent 1.2,Chennai,2015,59800,Petrol,Automatic,First,16.9,1197,82.0,5,5.8
3251,Volkswagen,Volkswagen Vento ,Pune,2011,54211,Petrol,Manual,First,15.04,1598,103.6,5,3.33
3252,Chevrolet,Chevrolet Cruze LTZ,Kochi,2015,62242,Diesel,Automatic,First,14.39,1998,163.7,5,6.62
3253,Nissan,Nissan Terrano XL,Mumbai,2015,54000,Diesel,Manual,Second,19.01,1461,108.5,5,5.75
3254,Hyundai,Hyundai Verna 1.6,Hyderabad,2012,65000,Diesel,Manual,First,22.32,1582,126.32,5,6.2
3255,Maruti,Maruti Celerio VXI,Chennai,2015,55000,Petrol,Automatic,First,23.1,998,67.04,5,3.5
3256,Maruti,Maruti Wagon R,Pune,2010,71000,Petrol,Manual,First,18.9,998,67.1,5,2.0
3257,Hyundai,Hyundai i20 Magna,Chennai,2012,70000,Diesel,Manual,First,21.9,1396,88.8,5,4.0
3258,Audi,Audi A4 1.8,Mumbai,2011,53000,Petrol,Automatic,First,12.3,1781,163.2,5,9.5
3259,BMW,BMW X1 sDrive20d,Mumbai,2013,43000,Diesel,Automatic,First,17.05,1995,184.0,5,17.5
3260,Skoda,Skoda Rapid 1.6,Mumbai,2015,54000,Petrol,Automatic,First,14.3,1598,103.52,5,6.11
3261,Hyundai,Hyundai i10 Magna,Ahmedabad,2014,51000,Petrol,Manual,First,20.36,1197,78.9,5,3.75
3262,Mitsubishi,Mitsubishi Pajero 2.8,Hyderabad,2007,78000,Diesel,Manual,Second,10.5,2835,107.2,6,6.2
3263,Honda,Honda City i,Mumbai,2014,25000,Diesel,Manual,First,26.0,1498,98.6,5,6.15
3264,Maruti,Maruti Alto K10,Pune,2012,12600,Petrol,Manual,First,20.92,998,67.1,5,2.4
3265,Maruti,Maruti Swift Ldi,Pune,2009,80000,Diesel,Manual,Fourth & Above,17.8,1248,75.0,5,2.15
3266,Hyundai,Hyundai Grand i10,Kolkata,2016,21000,Petrol,Manual,First,18.9,1197,82.0,5,3.75
3267,Ford,Ford Figo ,Mumbai,2011,32000,Petrol,Manual,Second,15.6,1196,70.0,5,2.15
3268,Hyundai,Hyundai Grand i10,Bangalore,2015,50000,Petrol,Manual,First,18.9,1197,81.86,5,4.75
3269,Maruti,Maruti SX4 Vxi,Mumbai,2010,47500,Petrol,Manual,First,15.5,1586,103.3,5,2.45
3270,Honda,Honda City i-VTEC,Mumbai,2017,7500,Petrol,Manual,First,17.4,1497,117.3,5,11.15
3271,Renault,Renault Duster 110PS,Jaipur,2016,68163,Diesel,Automatic,First,19.6,1461,108.45,5,8.9
3272,Honda,Honda Amaze S,Ahmedabad,2014,61000,Diesel,Manual,First,25.8,1498,98.6,5,4.35
3273,Toyota,Toyota Innova 2.5,Jaipur,2015,100000,Diesel,Manual,Second,12.99,2494,100.6,7,12.0
3274,BMW,BMW 3 Series,Mumbai,2009,61500,Diesel,Automatic,Second,16.07,1995,181.0,5,8.5
3275,Hyundai,Hyundai i10 Magna,Kochi,2017,42883,Petrol,Manual,First,19.81,1086,68.05,5,4.27
3276,Renault,Renault Duster 85PS,Jaipur,2012,97000,Diesel,Manual,Second,20.45,1461,83.8,5,4.25
3277,Mitsubishi,Mitsubishi Outlander 2.4,Bangalore,2010,39525,Petrol,Automatic,First,11.3,2360,170.0,5,9.25
3278,Maruti,Maruti Vitara Brezza,Kochi,2017,35384,Diesel,Manual,First,24.3,1248,88.5,5,8.61
3279,Mercedes-Benz,Mercedes-Benz R-Class R350,Hyderabad,2010,46000,Diesel,Automatic,First,11.8,2987,261.0,7,28.0
3280,Ford,Ford EcoSport 1.5,Coimbatore,2018,32189,Diesel,Manual,First,23.0,1498,98.96,5,9.25
